title,price,preprice,discount,url,brand,sku,main_material,gender
ADIDAS IDAS Supernova Ease Shoes Running Shoes - Black,6999.0,6999.0,0.0,https://www.jumia.com.eg/adidas-idas-supernova-ease-shoes-running-shoes-black-131457236.html,adidas,AD537FS2P7K45NAFAMZ,textile,Unisex
ADIDAS Tensaur Sport Training Lace Shoes - White,1636.0,2799.0,0.0042,https://www.jumia.com.eg/adidas-tensaur-sport-training-lace-shoes-white-130113580.html,adidas,AD537FS1SM74VNAFAMZ,textile,Unisex
Women's Elegant Suede Buckle Clogs - Non-Slip Sole,650.0,1200.0,0.0046,https://www.jumia.com.eg/generic-womens-elegant-suede-buckle-clogs-non-slip-sole-133742735.html,adidas,GE810FS2JIURHNAFAMZ,mixed,Men
Skechers Bobs B Flex Lo Sneakers - Gray,5546.0,6519.0,0.0015,https://www.jumia.com.eg/skechers-bobs-b-flex-lo-sneakers-gray-130119089.html,skechers,SK596FS39XS2NNAFAMZ,textile/synthetic,Unisex
Desert Women's Fashion Sneakers – Basic Design,512.0,679.0,0.0025,https://www.jumia.com.eg/desert-womens-fashion-sneakers-basic-design-133821022.html,desert,DE403FS20N5PDNAFAMZ,leather,Men
Boot Rattan Beige/Brown 4 Floors,390.0,650.0,0.004,https://www.jumia.com.eg/generic-boot-rattan-beigebrown-4-floors-132049128.html,adidas,GE810FD30H1T3NAFAMZ,mixed,Unisex
Pk6 Perforated Clogs For Baby - Rose,130.0,357.0,0.0064,https://www.jumia.com.eg/onda-pk6-perforated-clogs-for-baby-rose-102779774.html,adidas,ON210FS2FZTG8NAFAMZ,mixed,Unisex
Reebok Energen Tech Shoes-Low - Multi Color,6008.0,7059.0,0.0015,https://www.jumia.com.eg/reebok-energen-tech-shoes-low-multi-color-130148033.html,reebok,RE030FS278GCNNAFAMZ,mesh,Unisex
Nike W Revolution 7 Womens Footwear,5952.0,7319.0,0.0022,https://www.jumia.com.eg/nike-w-revolution-7-womens-footwear-129943030.html,nike,NI948FS1PCEB4NAFAMZ,textile,Men
Women Sock Sneakers - Black,229.0,229.0,0.0,https://www.jumia.com.eg/generic-women-sock-sneakers-black-131326155.html,adidas,GE810FS2KDO09NAFAMZ,mixed,Men
"Lace-Up Verneh Shoes for Men, Attractive Model High-quality, crack-resistant Sky leather, Non-Slip Foam Sole - Black",765.0,950.0,0.0019,https://www.jumia.com.eg/generic-lace-up-verneh-shoes-for-men-attractive-model-high-quality-crack-resistant-sky-leather-non-slip-foam-sole-black-133902376.html,adidas,GE810FS2RM9NPNAFAMZ,mixed,Men
Reebok Court Cln Sneakers - Beige,5785.0,6799.0,0.0015,https://www.jumia.com.eg/reebok-court-cln-sneakers-beige-130977826.html,reebok,RE030FS2OZ1E7NAFAMZ,leather,Unisex
"Patent Leather gilrs Boots, Black Lace-Up , Chunky Platform Sole, Side Zip Closure 500-1",610.0,895.0,0.0034000000000000002,https://www.jumia.com.eg/generic-patent-leather-gilrs-boots-black-lace-up-chunky-platform-sole-side-zip-closure-500-1-133900553.html,adidas,GE810FS28O96TNAFAMZ,leather,Unisex
Skechers Bobs Squad Waves Sneakers - Rose,5932.0,6969.0,0.0015,https://www.jumia.com.eg/skechers-bobs-squad-waves-sneakers-rose-130119076.html,skechers,SK596FS2RHCBJNAFAMZ,textile/synthetic,Unisex
Glitter Women Sneakers - GREY,1032.0,1720.0,0.004,https://www.jumia.com.eg/glitter-women-sneakers-grey-133658974.html,glitter,GL733FS2G3UG1NAFAMZ,suede,Men
ADIDAS ID1305 Advantage Base 2.0 Shoes Kids,1636.0,2799.0,0.0042,https://www.jumia.com.eg/adidas-id1305-advantage-base-2.0-shoes-kids-113435486.html,adidas,AD537FS2SAJHZNAFAMZ,synthetic,Kids
Easy-Wear Clogs For men - Distinctive & Elegant Slip-On Design -High Chamois Quality - Comfort & Non-slip Portan Sole -(Open Slipper) Beige,660.0,850.0,0.0022,https://www.jumia.com.eg/generic-easy-wear-clogs-for-men-distinctive-elegant-slip-on-design-high-chamois-quality-comfort-non-slip-portan-sole-open-slipper-beige-133833728.html,adidas,GE810FS30SMBTNAFAMZ,mixed,Men
Activ Neon Green Detail For Charcoal Lace Closure Sneakers,745.0,1999.0,0.0063,https://www.jumia.com.eg/activ-neon-green-detail-for-charcoal-lace-closure-sneakers-68982918.html,activ,AC452FS1CS0T6NAFAMZ,textile,Unisex
LOU LOU Women's Sneaker Casual.,269.0,299.0,0.001,https://www.jumia.com.eg/lou-lou-womens-sneaker-casual.-133556384.html,lou,GE810FS2GBZKTNAFAMZ,mixed,Men
Desert Sportive Canvas Lace-up Sneakers for Kids,259.0,539.0,0.0052,https://www.jumia.com.eg/desert-sportive-canvas-lace-up-sneakers-for-kids-113482058.html,desert,DE403FS325SUNNAFAMZ,mixed,Kids
Starter RaceRays Kids Sneakers - White/Pink,1190.0,1190.0,0.0,https://www.jumia.com.eg/starter-racerays-kids-sneakers-whitepink-107419230.html,starter,ST352FS1PHW7INAFAMZ,micro fiber leather,Kids
Starter Swift Turf - Blue,1190.0,1190.0,0.0,https://www.jumia.com.eg/starter-swift-turf-blue-133780412.html,starter,ST352FS20A7KTNAFAMZ,mixed,Unisex
y Leather Classic Shoes - 5 Cm Heel - Beige,375.0,700.0,0.0046,https://www.jumia.com.eg/generic-y-leather-classic-shoes-5-cm-heel-beige-24670642.html,adidas,GE810FS0ENFDMNAFAMZ,mixed,Unisex
Desert Unisex Lightweight Lace-Up Sneaker,512.0,679.0,0.0025,https://www.jumia.com.eg/desert-unisex-lightweight-lace-up-sneaker-133828761.html,desert,DE403FS1XJ27LNAFAMZ,leather,Unisex
ADIDAS Break Start Shoes,2455.0,4199.0,0.0042,https://www.jumia.com.eg/adidas-break-start-shoes-133686224.html,adidas,AD537FS2CPB6HNAFAMZ,synthetic,Unisex
Sandal For Babies - Beige,107.5,311.0,0.006500000000000001,https://www.jumia.com.eg/onda-sandal-for-babies-beige-93614307.html,adidas,ON210FS15VNYFNAFAMZ,mixed,Unisex
LC Waikiki Lace-Up Girl's Sneakers,809.0,899.0,0.001,https://www.jumia.com.eg/lc-waikiki-lace-up-girls-sneakers-133669751.html,lc waikiki,LC160FS1WXX95NAFAMZ,mixed,Kids
Desert Fashion Sneakers From Leather For Women,449.0,609.0,0.0026,https://www.jumia.com.eg/desert-fashion-sneakers-from-leather-for-women-89661232.html,desert,DE403FS0DTM4ANAFAMZ,leather,Men
Desert Women's Fashion Sneakers – Basic Design,512.0,679.0,0.0025,https://www.jumia.com.eg/desert-womens-fashion-sneakers-basic-design-133821023.html,desert,DE403FS26LHR5NAFAMZ,leather,Men
"Women's Shoes - Medical Silicone Rubber, Soft and Comfortable",250.0,250.0,0.0,https://www.jumia.com.eg/generic-womens-shoes-medical-silicone-rubber-soft-and-comfortable-114595075.html,adidas,GE810FS2LIBX1NAFAMZ,mixed,Men
Anta Casual Shoes For Women - Multi Color,4762.0,5599.0,0.0015,https://www.jumia.com.eg/anta-casual-shoes-for-women-multi-color-130126960.html,anta,AN244FS1ROKHJNAFAMZ,mixed,Men
Women sock sneakers - black,199.99,299.945,0.0033,https://www.jumia.com.eg/generic-women-sock-sneakers-black-133837026.html,adidas,GE810FS2OHSYXNAFAMZ,mixed,Men
Activ Perforated Velcro Closure Youth Sneakers - Cream & Teal,1359.0,2999.0,0.0055000000000000005,https://www.jumia.com.eg/activ-perforated-velcro-closure-youth-sneakers-cream-teal-133729801.html,activ,AC452FS1U0TDPNAFAMZ,leather,Unisex
Flat Sneaker Shoes Casual For Kids - White & Red,575.0,750.0,0.0023,https://www.jumia.com.eg/generic-flat-sneaker-shoes-casual-for-kids-white-red-130711907.html,adidas,GE810FS2TR8BBNAFAMZ,leather,Kids
Large Drawstring Shoes Storage Bags Portable Non-Woven Shoes Pouch with Clear Window for Men Women Travel,24.99,100.0,0.0075,https://www.jumia.com.eg/generic-large-drawstring-shoes-storage-bags-portable-non-woven-shoes-pouch-with-clear-window-for-men-women-travel-133613951.html,adidas,GE810FD1X0TF5NAFAMZ,mixed,Men
Nike W Mc Trainer 3 Womens Footwear,9561.5,11349.0,0.0017000000000000001,https://www.jumia.com.eg/nike-w-mc-trainer-3-womens-footwear-129943047.html,nike,NI948FS2VM69CNAFAMZ,synthetic,Men
Dejavu Canvas Beige & Black Mary Jane Flat,974.0,1299.0,0.0025,https://www.jumia.com.eg/dejavu-canvas-beige-black-mary-jane-flat-131471456.html,dejavu,DE348FS2QHGW5NAFAMZ,textile,Unisex
Nox Women's Ballerina Gorgeous Design - Black,285.0,600.0,0.0053,https://www.jumia.com.eg/generic-nox-womens-ballerina-gorgeous-design-black-61603136.html,adidas,GE810FS11L3W8NAFAMZ,faux leather,Men
ADIDAS Ultimashow 2.0 Shoes,2455.0,4199.0,0.0042,https://www.jumia.com.eg/adidas-ultimashow-2.0-shoes-133753162.html,adidas,AD537FS233IYDNAFAMZ,textile,Unisex
Defacto Boy Flat Sole Eva Sandals,299.0,599.0,0.005,https://www.jumia.com.eg/defacto-boy-flat-sole-eva-sandals-131598221.html,defacto,DE196FS1UUR55NAFAMZ,mixed,Kids
Puma Softride Orla Black-Shadow Gray-Bri Shoes,5752.0,6759.0,0.0015,https://www.jumia.com.eg/puma-softride-orla-black-shadow-gray-bri-shoes-131477682.html,puma,PU466FS24M04LNAFAMZ,textile,Unisex
ADIDAS ADIDAS Barreda Shoes Sportswear Shoes - Pink,4999.0,4999.0,0.0,https://www.jumia.com.eg/adidas-adidas-barreda-shoes-sportswear-shoes-pink-131457311.html,adidas,AD537FS1UB5THNAFAMZ,leather,Unisex
LC Waikiki Single Band Boy Slippers,149.0,299.0,0.005,https://www.jumia.com.eg/lc-waikiki-single-band-boy-slippers-131441401.html,lc waikiki,LC160FS1TQKB1NAFAMZ,mixed,Kids
sandl for girls soft.,157.5,350.0,0.0055000000000000005,https://www.jumia.com.eg/generic-sandl-for-girls-soft.-133534450.html,adidas,GE810FS1QS0R1NAFAMZ,mixed,Kids
ADIDAS IDAS Supernova Ease Shoes Running Shoes - White,6999.0,6999.0,0.0,https://www.jumia.com.eg/adidas-idas-supernova-ease-shoes-running-shoes-white-131457235.html,adidas,AD537FS2J982DNAFAMZ,textile,Unisex
ADIDAS Breaknet Sleek Shoes,2455.0,4199.0,0.0042,https://www.jumia.com.eg/adidas-breaknet-sleek-shoes-133753148.html,adidas,AD537FS31MO1HNAFAMZ,synthetic,Unisex
Flat Sneaker Shoes Casual For Kids - Blue,575.0,750.0,0.0023,https://www.jumia.com.eg/generic-flat-sneaker-shoes-casual-for-kids-blue-130203170.html,adidas,GE810FS1RS66ZNAFAMZ,leather,Kids
LOU LOU Women's Sneaker Casual.,269.0,299.0,0.001,https://www.jumia.com.eg/lou-lou-womens-sneaker-casual.-133556395.html,lou,GE810FS2MVR8DNAFAMZ,mixed,Men
Women Lace Up Sneakers WHITE ZR,349.0,349.0,0.0,https://www.jumia.com.eg/generic-women-lace-up-sneakers-white-zr-131527714.html,adidas,GE810FS2CEODDNAFAMZ,mixed,Men
ADIDAS IDAS Questar 3 Running Shoes,5999.0,5999.0,0.0,https://www.jumia.com.eg/adidas-idas-questar-3-running-shoes-132958501.html,adidas,AD537FS1TU8N7NAFAMZ,synthetic,Unisex
LC Waikiki Lace-Up Boy's Sneakers,809.0,899.0,0.002,https://www.jumia.com.eg/lc-waikiki-lace-up-boys-sneakers-133669742.html,lc waikiki,LC160FS22ATP5NAFAMZ,mixed,Kids
Flat Ballerina Knitwear for Women - Black,219.0,219.0,0.0,https://www.jumia.com.eg/generic-flat-ballerina-knitwear-for-women-black-132355112.html,adidas,GE810FS204S1NNAFAMZ,mixed,Men
Skechers Arch Comfort B Sweet Sports Footwear - Taupe,5739.0,5739.0,0.0,https://www.jumia.com.eg/skechers-arch-comfort-b-sweet-sports-footwear-taupe-133583049.html,skechers,SK596FS37IX39NAFAMZ,synthetic,Unisex
Large Drawstring Shoes Storage Bags Portable Non-Woven Shoes Pouch with Clear Window for Men Women Travel,24.99,60.0,0.0058,https://www.jumia.com.eg/generic-large-drawstring-shoes-storage-bags-portable-non-woven-shoes-pouch-with-clear-window-for-men-women-travel-133616950.html,adidas,GE810FD1R34IPNAFAMZ,mixed,Men
LC Waikiki Boys Velcro Sandals,439.0,799.0,0.0045000000000000005,https://www.jumia.com.eg/lc-waikiki-boys-velcro-sandals-133856226.html,lc waikiki,LC160FS2OLX49NAFAMZ,mixed,Kids
Silver Shoes Women Black Medical Loafer Made Of Genuine Leather,650.0,650.0,0.0,https://www.jumia.com.eg/silver-shoes-women-black-medical-loafer-made-of-genuine-leather-39692353.html,silver shoes,BR123FS0L18KDNAFAMZ,mixed,Men
Women Sneakers Beige,299.0,299.0,0.0,https://www.jumia.com.eg/generic-women-sneakers-beige-133879782.html,adidas,GE810FS24OL1LNAFAMZ,mixed,Men
vbranda Women's Black Casual Platform Sneakers SN-14-BLACK,399.0,799.0,0.005,https://www.jumia.com.eg/vbranda-womens-black-casual-platform-sneakers-sn-14-black-131480332.html,vbranda,VB798FS21EXDPNAFAMZ,mixed,Men
"Cushioned orthotic insole for arch support and plantar fasciitis relief, and to alleviate heel and foot pain",161.25,219.0,0.0026,https://www.jumia.com.eg/generic-cushioned-orthotic-insole-for-arch-support-and-plantar-fasciitis-relief-and-to-alleviate-heel-and-foot-pain-133951492.html,adidas,GE810FC251TZ1NAFAMZ,mixed,Unisex
ADIDAS Cloudfoam Comfy Shoes,1987.0,3399.0,0.0042,https://www.jumia.com.eg/adidas-cloudfoam-comfy-shoes-133604930.html,adidas,AD537FS1PVT3TNAFAMZ,textile,Unisex
y Leather Classic Shoes - 3 Cm Heel - Beige,375.0,700.0,0.0046,https://www.jumia.com.eg/generic-y-leather-classic-shoes-3-cm-heel-beige-49090738.html,adidas,GE810FS1DU6CMNAFAMZ,leather,Unisex
Activ Stitched Casual Shoes - Havana,1399.0,3999.0,0.006500000000000001,https://www.jumia.com.eg/activ-stitched-casual-shoes-havana-130258291.html,activ,AC452FS1Z0P1VNAFAMZ,suede,Unisex
ADIDAS Lsj07 Tennis Footwear Shoes - Black,1753.0,2999.0,0.0042,https://www.jumia.com.eg/adidas-lsj07-tennis-footwear-shoes-black-52743310.html,adidas,AD537FS00SLVPNAFAMZ,textile,Unisex
ADIDAS Breaknet 3.0 Shoes,2455.0,4199.0,0.0042,https://www.jumia.com.eg/adidas-breaknet-3.0-shoes-133753140.html,adidas,AD537FS1PZZN9NAFAMZ,synthetic,Unisex
ADIDAS Break Start Low Shoes,2455.0,4199.0,0.0042,https://www.jumia.com.eg/adidas-break-start-low-shoes-133686240.html,adidas,AD537FS1Q2U6XNAFAMZ,synthetic,Unisex
ADIDAS VL Court 3.0 Shoes,3800.0,6499.0,0.0042,https://www.jumia.com.eg/adidas-vl-court-3.0-shoes-133827313.html,adidas,AD537FS267RXDNAFAMZ,leather,Unisex
"Crocs for boys, trendy and stylish design - Black",160.0,450.0,0.0066,https://www.jumia.com.eg/generic-crocs-for-boys-trendy-and-stylish-design-black-133895740.html,adidas,GE810FS1QDD7DNAFAMZ,mixed,Kids
ADIDAS Breaknet 3.0 Shoes,2455.0,4199.0,0.0042,https://www.jumia.com.eg/adidas-breaknet-3.0-shoes-133753141.html,adidas,AD537FS1VYBP1NAFAMZ,synthetic,Unisex
Activ Orange Detail For Black Lace Closure Sneakers,745.0,1999.0,0.0063,https://www.jumia.com.eg/activ-orange-detail-for-black-lace-closure-sneakers-68982906.html,activ,AC452FS109X3UNAFAMZ,textile,Unisex
Nike W Revolution 6 Running Shoes,5314.0,6249.0,0.0015,https://www.jumia.com.eg/nike-w-revolution-6-running-shoes-131477380.html,nike,NI948FS1SIWJPNAFAMZ,synthetic,Unisex
ADIDAS IDAS Grand Court Lifestyle Tennis Lace-Up Shoes Sportswear Shoes - Blue,2799.0,2799.0,0.0,https://www.jumia.com.eg/adidas-idas-grand-court-lifestyle-tennis-lace-up-shoes-sportswear-shoes-blue-131457315.html,adidas,AD537FS2I4I0LNAFAMZ,textile,Unisex
vbranda Fashion Sneaker For Women L-878-WHITE,359.0,699.0,0.0049,https://www.jumia.com.eg/vbranda-fashion-sneaker-for-women-l-878-white-133547859.html,vbranda,VB798FS38M9R9NAFAMZ,mixed,Men
Anta Cross-Training Shoes For Women - Multi Color,5182.0,5599.0,0.0015,https://www.jumia.com.eg/anta-cross-training-shoes-for-women-multi-color-130126944.html,anta,AN244FS2EB1H3NAFAMZ,mixed,Men
Skechers Edgeride Sneakers - Mauve Turquoise,6482.0,7619.0,0.0015,https://www.jumia.com.eg/skechers-edgeride-sneakers-mauve-turquoise-130119115.html,skechers,SK596FS2I0JSVNAFAMZ,textile,Unisex
Activ Leather Kids Solid Leather Sneakers - Black,999.0,2999.0,0.0067,https://www.jumia.com.eg/activ-leather-kids-solid-leather-sneakers-black-133595726.html,activ,AC452FS2OWI25NAFAMZ,leather,Kids
Puma Skyrocket Lite Black-Fast Pink Shoes,5531.0,6499.0,0.0015,https://www.jumia.com.eg/puma-skyrocket-lite-black-fast-pink-shoes-131477642.html,puma,PU466FS2289PHNAFAMZ,textile,Unisex
Jellies Unisex Mini Coco Fur,650.0,650.0,0.0,https://www.jumia.com.eg/jellies-unisex-mini-coco-fur-133951869.html,jellies,BR311FS396G59NAFAMZ,rubber,Unisex
Skechers Summits Sneakers - Gray Mint,6318.0,7429.0,0.0015,https://www.jumia.com.eg/skechers-summits-sneakers-gray-mint-130119109.html,skechers,SK596FS358GE7NAFAMZ,textile,Unisex
Skechers Bobs B Flex Lo Sneakers - White,3181.0,4969.0,0.0036,https://www.jumia.com.eg/skechers-bobs-b-flex-lo-sneakers-white-130119865.html,skechers,SK596FS2LEPY7NAFAMZ,mixed,Unisex
ADIDAS IDAS Women Vl Court 3.0 Shoes -Black,3118.0,5499.0,0.0045000000000000005,https://www.jumia.com.eg/adidas-idas-women-vl-court-3.0-shoes-black-130482900.html,adidas,AD537FS1O38URNAFAMZ,leather,Men
Flat Sneaker Shoes Casual For Kids - White,520.0,750.0,0.0031,https://www.jumia.com.eg/generic-flat-sneaker-shoes-casual-for-kids-white-40302061.html,adidas,GE810FS09JDCGNAFAMZ,leather,Kids
er White High for Women,349.0,349.0,0.0,https://www.jumia.com.eg/generic-er-white-high-for-women-115242912.html,adidas,GE810FS20L9CRNAFAMZ,leather,Men
Desert Side Printed Leather Sneakers for Kids,449.0,609.0,0.0026,https://www.jumia.com.eg/desert-side-printed-leather-sneakers-for-kids-105021262.html,desert,DE403FS2355UANAFAMZ,leather,Kids
Starter Luna Women Sneaker - White/Purple,1272.0,1590.0,0.002,https://www.jumia.com.eg/starter-luna-women-sneaker-whitepurple-133714290.html,starter,ST352FS1T1FGLNAFAMZ,mixed,Men
ADIDAS Advantage Base 2.0 Shoes Kids,1636.0,2799.0,0.0042,https://www.jumia.com.eg/adidas-advantage-base-2.0-shoes-kids-133686205.html,adidas,AD537FS2HGS0PNAFAMZ,synthetic,Kids
ADIDAS IDAS Grand Court 2.0 Shoes,5999.0,5999.0,0.0,https://www.jumia.com.eg/adidas-idas-grand-court-2.0-shoes-132958459.html,adidas,AD537FS38DXWJNAFAMZ,synthetic,Unisex
ADIDAS ID3886 Advantage Base 2.0 Shoes Kids,1753.0,2999.0,0.0042,https://www.jumia.com.eg/adidas-id3886-advantage-base-2.0-shoes-kids-133849593.html,adidas,AD537FS2B4029NAFAMZ,textile,Kids
ADIDAS IDAS Vl Court 3.0 Shoes Sportswear Shoes - Blue,4995.0,4999.0,0.0001,https://www.jumia.com.eg/adidas-idas-vl-court-3.0-shoes-sportswear-shoes-blue-131457302.html,adidas,AD537FS1ZO29HNAFAMZ,leather,Unisex
LC Waikiki Minnie Mouse Printed Velcro Closure Baby Girl Sneakers.,1039.0,1299.0,0.002,https://www.jumia.com.eg/lc-waikiki-minnie-mouse-printed-velcro-closure-baby-girl-sneakers.-133669757.html,lc waikiki,LC160FS2WNXJTNAFAMZ,mixed,Kids
mintra a Women's Cai Slip On Shoes - White X Turquoise,690.0,690.0,0.0,https://www.jumia.com.eg/mintra-a-womens-cai-slip-on-shoes-white-x-turquoise-130113290.html,mintra,MI869MW1T179BNAFAMZ,mixed,Men
